#S data
#N 4
#L f1  f2  size_at_f2  size_at_sample
47.472  7.70612  215.966  4.50562 
47.57  7.70446  216.435  4.49819 
47.668  7.70448  216.902  4.49033 
47.766  7.70449  217.368  4.48253 
47.864  7.70448  217.833  4.4748 
47.962  7.70276  218.296  4.46784 
48.06  7.70273  218.758  4.46021 
48.158  7.70544  219.218  4.45178 
48.256  7.70369  219.678  4.4447 
48.354  7.70363  220.136  4.43727 
48.452  7.70356  220.592  4.4299 
48.55  7.70178  221.047  4.42331 
48.648  7.70169  221.502  4.41603 
48.746  7.7016  221.954  4.40882 
48.844  7.70423  222.406  4.40077 
48.942  7.70243  222.856  4.3941 
49.04  7.70232  223.305  4.38706 
49.138  7.70221  223.752  4.38007 
49.236  7.7004  224.198  4.37392 
49.334  7.70027  224.643  4.36702 
49.432  7.70015  225.087  4.36018 
49.53  7.70275  225.529  4.35236 
49.628  7.70093  225.97  4.34614 
49.726  7.7008  226.41  4.33945 
49.824  7.70067  226.848  4.33281 
49.922  7.69886  227.285  4.3271 
50.02  7.70144  227.721  4.31933 
50.118  7.70131  228.156  4.31283 
50.216  7.70118  228.589  4.30639 
50.314  7.69937  229.021  4.30059 
50.412  7.69925  229.452  4.29422 
50.51  7.69913  229.882  4.2879 
50.608  7.69733  230.31  4.28262 
50.706  7.69992  230.737  4.27499 
50.804  7.69981  231.163  4.2688 
50.902  7.6997  231.587  4.26266 
51  7.69792  232.01  4.25724 
51.098  7.69782  232.432  4.25117 
51.196  7.69772  232.853  4.24513 
51.294  7.70033  233.273  4.23831 
51.392  7.69857  233.691  4.23275 
51.49  7.69849  234.108  4.22684 
51.588  7.69841  234.524  4.22098 
51.686  7.69668  234.938  4.21587 
51.784  7.69662  235.351  4.21006 
51.882  7.69656  235.764  4.20428 
51.98  7.6992  236.174  4.19773 
52.078  7.6975  236.584  4.19242 
52.176  7.69746  236.993  4.18678 
52.274  7.69578  237.4  4.18188 
52.372  7.69576  237.806  4.17628 
52.47  7.69575  238.211  4.17071 
52.568  7.69575  238.614  4.16518 
52.666  7.6941  239.017  4.16067 
52.764  7.69679  239.418  4.15387 
52.862  7.69681  239.818  4.14848 
