#S data
#N 4
#L f1  f2  size_at_f2  size_at_sample
48.354  25.9338  197.122  17.1378 
48.452  25.9274  197.515  17.1059 
48.55  25.9211  197.906  17.0744 
48.648  25.9255  198.297  17.0424 
48.746  25.9193  198.686  17.0112 
48.844  25.9238  199.073  16.9799 
48.942  25.9111  199.46  16.9494 
49.04  25.905  199.845  16.9189 
49.138  25.9097  200.23  16.8881 
49.236  25.9037  200.612  16.858 
49.334  25.9085  200.994  16.8277 
49.432  25.8961  201.375  16.7983 
49.53  25.8904  201.754  16.7688 
49.628  25.8953  202.132  16.739 
49.726  25.8897  202.509  16.71 
49.824  25.8842  202.885  16.6811 
49.922  25.8892  203.259  16.6521 
50.02  25.8773  203.633  16.6239 
50.118  25.872  204.005  16.5956 
50.216  25.8772  204.376  16.567 
50.314  25.872  204.746  16.5391 
50.412  25.8669  205.115  16.5115 
50.51  25.8554  205.482  16.4845 
50.608  25.8609  205.849  16.4565 
50.706  25.856  206.214  16.4294 
50.804  25.8511  206.578  16.4024 
50.902  25.8568  206.941  16.3751 
51  25.8456  207.303  16.3489 
51.098  25.841  207.663  16.3225 
51.196  25.8469  208.023  16.2957 
51.294  25.8424  208.381  16.2696 
51.392  25.838  208.738  16.2437 
51.49  25.8272  209.094  16.2185 
51.588  25.8334  209.449  16.1923 
51.686  25.8292  209.803  16.1669 
51.784  25.8251  210.156  16.1417 
51.882  25.8146  210.508  16.1171 
51.98  25.821  210.858  16.0915 
52.078  25.8171  211.208  16.0668 
52.176  25.8133  211.556  16.0422 
52.274  25.8096  211.903  16.0178 
52.372  25.7995  212.25  15.9941 
52.47  25.8062  212.595  15.9692 
52.568  25.8027  212.939  15.9453 
52.666  25.7993  213.282  15.9215 
52.764  25.7895  213.624  15.8983 
52.862  25.7965  213.964  15.8741 
52.96  25.7933  214.304  15.8507 
53.058  25.7901  214.643  15.8275 
53.156  25.7807  214.98  15.8049 
53.254  25.7777  215.317  15.782 
53.352  25.7748  215.653  15.7592 
53.45  25.7822  215.987  15.7359 
53.548  25.7731  216.32  15.7138 
53.646  25.7703  216.653  15.6914 
53.744  25.7677  216.984  15.6692 
53.842  25.7588  217.315  15.6476 
53.94  25.7665  217.644  15.6249 
54.038  25.7641  217.972  15.6031 
54.136  25.7618  218.299  15.5814 
54.234  25.7532  218.626  15.5602 
54.332  25.751  218.951  15.5388 
54.43  25.7489  219.275  15.5175 
