#S data
#N 4
#L f1  f2  size_at_f2  size_at_sample
52.568  8.37474  160.242  5.23857 
52.666  8.36741  161.49  5.20392 
52.764  8.36008  162.734  5.17001 
52.862  8.35555  163.975  5.13619 
52.96  8.34822  165.212  5.10357 
53.058  8.34369  166.446  5.0711 
53.156  8.33635  167.676  5.0397 
53.254  8.33182  168.903  5.00846 
53.352  8.32449  170.126  4.97827 
53.45  8.31996  171.345  4.94817 
53.548  8.31263  172.561  4.91915 
53.646  8.3081  173.773  4.89012 
53.744  8.30077  174.981  4.86229 
53.842  8.29624  176.186  4.83426 
53.94  8.29344  177.388  4.80651 
54.038  8.2861  178.585  4.78004 
54.136  8.28157  179.78  4.75355 
54.234  8.27704  180.97  4.72755 
54.332  8.26971  182.157  4.70271 
54.43  8.26691  183.341  4.67711 
54.528  8.26238  184.521  4.65245 
54.626  8.25785  185.698  4.62823 
54.724  8.25052  186.87  4.60518 
54.822  8.24772  188.04  4.58123 
54.92  8.24319  189.206  4.55823 
55.018  8.23865  190.368  4.53562 
55.116  8.23585  191.527  4.51305 
55.214  8.23132  192.683  4.49118 
55.312  8.22679  193.835  4.46967 
55.41  8.21946  194.983  4.44946 
55.508  8.21666  196.128  4.42806 
55.606  8.21213  197.27  4.4077 
55.704  8.2076  198.408  4.3877 
55.802  8.2048  199.542  4.36735 
55.9  8.20027  200.674  4.34799 
55.998  8.19747  201.801  4.32832 
56.096  8.19294  202.926  4.30958 
56.194  8.1884  204.047  4.29122 
56.292  8.1856  205.165  4.27241 
56.39  8.18107  206.279  4.25466 
56.488  8.17827  207.39  4.23643 
56.586  8.17654  208.497  4.21822 
56.684  8.17374  209.602  4.20071 
56.782  8.16921  210.702  4.18385 
56.88  8.16468  211.8  4.16738 
56.978  8.16188  212.894  4.15056 
57.076  8.15735  213.985  4.13471 
57.174  8.15455  215.073  4.11836 
57.272  8.15455  216.157  4.10157 
57.37  8.15002  217.238  4.0861 
57.468  8.14549  218.316  4.0711 
57.566  8.14269  219.391  4.05573 
57.664  8.13815  220.462  4.0414 
57.762  8.13815  221.531  4.02539 
57.86  8.13362  222.595  4.01124 
57.958  8.13082  223.657  3.99675 
58.056  8.12629  224.716  3.98333 
58.154  8.12629  225.771  3.96808 
58.252  8.12349  226.823  3.95422 
58.35  8.11896  227.873  3.94116 
58.448  8.11616  228.919  3.9277 
58.546  8.11443  229.961  3.91398 
58.644  8.11163  231.001  3.90088 
58.742  8.1071  232.038  3.88886 
58.84  8.1071  233.071  3.87487 
58.938  8.1043  234.102  3.8623 
59.036  8.09977  235.129  3.85071 
59.134  8.09977  236.153  3.83737 
59.232  8.09524  237.174  3.82598 
59.33  8.09244  238.193  3.81416 
59.428  8.09244  239.208  3.80134 
59.526  8.0879  240.22  3.79044 
59.624  8.0851  241.229  3.77913 
59.722  8.08337  242.235  3.76737 
59.82  8.08057  243.239  3.75636 
59.918  8.08057  244.239  3.74428 
60.016  8.07604  245.236  3.73421 
60.114  8.07604  246.23  3.72242 
60.212  8.07324  247.222  3.71185 
60.31  8.06871  248.21  3.70245 
60.408  8.06871  249.196  3.69083 
60.506  8.06591  250.178  3.68074 
60.604  8.06418  251.158  3.67034 
60.702  8.06138  252.135  3.66055 
60.8  8.06138  253.109  3.64985 
60.898  8.05685  254.08  3.64091 
60.996  8.05405  255.049  3.63165 
61.094  8.05405  256.014  3.6209 
61.192  8.04952  256.977  3.61288 
61.29  8.04952  257.937  3.60219 
61.388  8.04672  258.894  3.59334 
61.486  8.04499  259.848  3.58401 
61.584  8.04499  260.8  3.57409 
61.682  8.04219  261.748  3.56539 
61.78  8.03765  262.694  3.55824 
61.878  8.03765  263.638  3.54808 
61.976  8.03485  264.578  3.54001 
62.074  8.03485  265.516  3.53035 
62.172  8.03312  266.451  3.52181 
62.27  8.03032  267.383  3.5139 
62.368  8.03032  268.313  3.50481 
62.466  8.02579  269.24  3.49804 
62.564  8.02579  270.164  3.48881 
62.662  8.02299  271.086  3.48137 
62.76  8.02299  272.005  3.47252 
62.858  8.01846  272.921  3.46643 
62.956  8.01846  273.835  3.45738 
63.054  8.01566  274.746  3.45047 
63.152  8.01566  275.655  3.44176 
63.25  8.01393  276.561  3.43426 
63.348  8.01113  277.464  3.42754 
63.446  8.01113  278.365  3.41918 
63.544  8.01113  279.263  3.41141 
63.642  8.0066  280.159  3.40543 
63.74  8.0066  281.052  3.39737 
63.838  8.0038  281.943  3.39096 
63.936  8.00207  282.831  3.38409 
64.034  8.00207  283.716  3.37626 
64.132  7.99903  284.6  3.37028 
64.23  7.99838  285.48  3.36291 
64.328  7.99643  286.358  3.35647 
64.426  7.99639  287.234  3.34904 
64.524  7.9944  288.107  3.34266 
64.622  7.99233  288.978  3.33649 
64.72  7.99006  289.846  3.33065 
64.818  7.98862  290.712  3.32426 
64.916  7.98762  291.575  3.31759 
65.014  7.98596  292.436  3.31153 
65.112  7.98452  293.295  3.30536 
65.21  7.98246  294.151  3.29986 
65.308  7.98326  295.005  3.29207 
65.406  7.9821  295.856  3.28592 
65.504  7.9817  296.705  3.27954 
65.602  7.97965  297.552  3.27389 
65.7  7.97827  298.396  3.26804 
65.798  7.97542  299.238  3.26328 
65.896  7.97624  300.078  3.2562 
65.994  7.97253  300.915  3.25212 
66.092  7.97042  301.75  3.24737 
66.19  7.97031  302.583  3.24059 
66.288  7.96972  303.414  3.2345 
66.386  7.97079  304.242  3.22788 
66.484  7.96657  305.068  3.22414 
66.582  7.96862  305.891  3.21696 
66.68  7.96698  306.713  3.21169 
66.778  7.96413  307.532  3.20715 
66.876  7.96345  308.349  3.20158 
66.974  7.96152  309.163  3.19687 
67.072  7.95961  309.976  3.19234 
67.17  7.95958  310.786  3.18632 
67.268  7.9583  311.594  3.18135 
67.366  7.95584  312.4  3.17748 
67.464  7.95616  313.203  3.17125 
67.562  7.95525  314.005  3.16618 
67.66  7.95318  314.804  3.16201 
67.758  7.95262  315.601  3.15672 
67.856  7.95189  316.396  3.15166 
67.954  7.95001  317.189  3.1475 
68.052  7.9495  317.98  3.14233 
68.15  7.95025  318.768  3.13672 
68.248  7.94838  319.555  3.13237 
68.346  7.94775  320.339  3.12758 
68.444  7.94603  321.121  3.12334 
68.542  7.9419  321.902  3.12186 
68.64  7.94464  322.68  3.11399 
68.738  7.94276  323.456  3.10998 
68.836  7.94194  324.229  3.10544 
68.934  7.94007  325.001  3.10168 
69.032  7.93797  325.771  3.09843 
69.13  7.94007  326.539  3.09192 
69.228  7.93788  327.305  3.08821 
69.326  7.93664  328.068  3.08415 
69.424  7.93629  328.83  3.07957 
69.522  7.93375  329.589  3.07662 
69.62  7.93508  330.347  3.07095 
69.718  7.93128  331.103  3.06902 
69.816  7.92947  331.856  3.0661 
69.914  7.93023  332.608  3.06009 
70.012  7.9317  333.358  3.05463 
70.11  7.92935  334.105  3.05134 
70.208  7.92776  334.851  3.04795 
70.306  7.92689  335.595  3.04401 
70.404  7.92672  336.337  3.03958 
70.502  7.92455  337.077  3.03684 
70.6  7.92408  337.815  3.03263 
70.698  7.92326  338.551  3.0288 
70.796  7.92307  339.285  3.02449 
70.894  7.92192  340.017  3.02099 
70.992  7.92138  340.747  3.01704 
71.09  7.91896  341.476  3.0149 
71.188  7.9196  342.202  3.00981 
71.286  7.91835  342.927  3.00653 
71.384  7.91768  343.65  3.00282 
71.482  7.91754  344.371  2.99875 
71.58  7.91794  345.09  2.99467 
71.678  7.91506  345.807  2.99238 
71.776  7.91273  346.522  2.99063 
71.874  7.91465  347.236  2.9846 
71.972  7.91107  347.947  2.98386 
72.07  7.91391  348.657  2.97742 
72.168  7.90996  349.365  2.97648 
72.266  7.9079  350.072  2.975 
